央卫频道,#genre#
推流线路,#genre#
4K电影,http://45.192.97.170:8880/play/142.m3u8
动作电影,http://45.192.97.170:8880/play/143.m3u8
家庭影院,http://45.192.97.170:8880/play/144.m3u8
影迷电影,http://45.192.97.170:8880/play/145.m3u8
凤凰资讯,http://45.192.97.170:8880/play/146.m3u8
凤凰中文,http://45.192.97.170:8880/play/147.m3u8
凤凰香港,http://45.192.97.170:8880/play/148.m3u8
广东体育,http://45.192.97.170:8880/play/149.m3u8
广东珠江,http://45.192.97.170:8880/play/150.m3u8
广东新闻,http://45.192.97.170:8880/play/151.m3u8
TVB星河,http://45.192.97.170:8880/play/152.m3u8
动物星球,http://45.192.97.170:8880/play/153.m3u8
东森电影,http://45.192.97.170:8880/play/154.m3u8
澳门莲花,http://45.192.97.170:8880/play/155.m3u8
八大娱乐,http://45.192.97.170:8880/play/156.m3u8
韩国娱乐,http://45.192.97.170:8880/play/157.m3u8
24KZ,http://45.192.97.170:8880/play/158.m3u8
AbaiTV,http://45.192.97.170:8880/play/159.m3u8
CGTN俄语,http://45.192.97.170:8880/play/160.m3u8
ManasTV,http://45.192.97.170:8880/play/161.m3u8
Qazsport,http://45.192.97.170:8880/play/162.m3u8
qazaqstantv,http://45.192.97.170:8880/play/163.m3u8
Новоетелевидение,http://45.192.97.170:8880/play/164.m3u8
Хабар,http://45.192.97.170:8880/play/165.m3u8
四季台湾,#genre#
三立新闻,http://45.192.97.170:8880/play/166.m3u8
中天新闻,http://45.192.97.170:8880/play/167.m3u8
东森新闻,http://45.192.97.170:8880/play/168.m3u8
中视新闻,http://45.192.97.170:8880/play/169.m3u8
华视新闻,http://45.192.97.170:8880/play/170.m3u8
民视新闻,http://45.192.97.170:8880/play/171.m3u8
TVBS新闻,http://45.192.97.170:8880/play/172.m3u8
LIVE三立,http://45.192.97.170:8880/play/173.m3u8
中视,http://45.192.97.170:8880/play/174.m3u8
中视新闻,http://45.192.97.170:8880/play/175.m3u8
中视经典,http://45.192.97.170:8880/play/176.m3u8
中视菁采,http://45.192.97.170:8880/play/177.m3u8
台视,http://45.192.97.170:8880/play/178.m3u8
台视新闻,http://45.192.97.170:8880/play/179.m3u8
台视综合,http://45.192.97.170:8880/play/180.m3u8
台视财经,http://45.192.97.170:8880/play/181.m3u8
民视,http://45.192.97.170:8880/play/182.m3u8
民视新闻台,http://45.192.97.170:8880/play/183.m3u8
民视台湾台,http://45.192.97.170:8880/play/184.m3u8
民视第一台,http://45.192.97.170:8880/play/185.m3u8
华视,http://45.192.97.170:8880/play/186.m3u8
华视新闻资讯,http://45.192.97.170:8880/play/187.m3u8
华视教育体育文化,http://45.192.97.170:8880/play/188.m3u8
公视,http://45.192.97.170:8880/play/189.m3u8
公视台语台,http://45.192.97.170:8880/play/190.m3u8
小公视,http://45.192.97.170:8880/play/191.m3u8
中天新闻,http://45.192.97.170:8880/play/192.m3u8
TVBS新闻台,http://45.192.97.170:8880/play/193.m3u8
东森新闻,http://45.192.97.170:8880/play/194.m3u8
三立新闻,http://45.192.97.170:8880/play/195.m3u8
更新时间,#genre#
0921/8:45,http://45.192.97.170:8880/play/196.m3u8
盲盒点歌1,http://45.192.97.170:8880/play/197.m3u8
盲盒点歌2,http://45.192.97.170:8880/play/198.m3u8
赛事回放,#genre#
[回放] 热浪 vs 红魔鬼 86-73 [墨联] 2026-09-21 06:15,http://45.192.97.170:8880/play/199.m3u8
[回放] 墨西哥美洲女足 vs 阿特拉斯女足 2-2 [墨女超] 2026-09-21 05:45,http://45.192.97.170:8880/play/200.m3u8
[回放] 卢克尼奥竞技 vs 雷科莱塔 1-0 [巴拉甲] 2026-09-21 05:30,http://45.192.97.170:8880/play/201.m3u8
[回放] 隆德里纳 vs 福塔雷萨 1-2 [巴西乙] 2026-09-21 05:30,http://45.192.97.170:8880/play/202.m3u8
[回放] 弗拉门戈 vs 布拉干蒂诺RB 2-1 [巴西甲] 2026-09-21 05:30,http://45.192.97.170:8880/play/203.m3u8
[回放] 芝加哥红星女足 vs 华盛顿精神女足 0-3 [美女职] 2026-09-21 05:05,http://45.192.97.170:8880/play/204.m3u8
[回放] 布卡拉曼加 vs 波哥大国际 2-0 [哥伦甲] 2026-09-21 05:05,http://45.192.97.170:8880/play/205.m3u8
[回放] 温哥华白浪后备队 vs 圣何塞地震后备队 0-2 [美预备联] 2026-09-21 05:00,http://45.192.97.170:8880/play/206.m3u8
[回放] 塔科马反抗者 vs 波特兰伐木工后备队 1-1 [美预备联] 2026-09-21 05:00,http://45.192.97.170:8880/play/207.m3u8
[回放] 圣路易斯市B队 vs 奥斯汀FC II队 0-2 [美预备联] 2026-09-21 05:00,http://45.192.97.170:8880/play/208.m3u8
[回放] 皇家君主 vs 文图拉县足球俱乐部 2-1 [美预备联] 2026-09-21 05:00,http://45.192.97.170:8880/play/209.m3u8
[回放] 休斯顿迪纳摩B队 vs 堪萨斯城后备队 2-3 [美预备联] 2026-09-21 05:00,http://45.192.97.170:8880/play/210.m3u8
[回放] 科罗拉多急流B队 vs 北得克萨斯 2-1 [美预备联] 2026-09-21 05:00,http://45.192.97.170:8880/play/211.m3u8
[回放] 明尼苏达联B队 vs 洛杉矶FCII队 3-2 [美预备联] 2026-09-21 05:00,http://45.192.97.170:8880/play/212.m3u8
[回放] 梅里达大学生 vs 图积兰奴斯 1-1 [委内超] 2026-09-21 05:00,http://45.192.97.170:8880/play/213.m3u8
[回放] 昆卡竞技 vs 穆苏克鲁纳 1-1 [厄瓜甲] 2026-09-21 05:00,http://45.192.97.170:8880/play/214.m3u8
[回放] 印地十一 vs 奥克兰根 0-1 [美乙] 2026-09-21 05:00,http://45.192.97.170:8880/play/215.m3u8
[回放] 巴勃罗B队 vs 莫克瓜 4-0 [秘鲁甲] 2026-09-21 04:30,http://45.192.97.170:8880/play/216.m3u8
[回放] 罗萨里奥中央 vs 阿根廷青年人 1-0 [阿甲] 2026-09-21 04:00,http://45.192.97.170:8880/play/217.m3u8
[回放] 普拉滕斯 vs 纽维尔老男孩 0-1 [阿甲] 2026-09-21 04:00,http://45.192.97.170:8880/play/218.m3u8
[回放] 安佐阿特吉 vs 加拉加斯 1-1 [委内超] 2026-09-21 04:00,http://45.192.97.170:8880/play/219.m3u8
[回放] 狂热 vs 神秘人 77-93 [WNBA] 2026-09-21 04:00,http://45.192.97.170:8880/play/220.m3u8
[回放] 狂热 vs 神秘人 77-93 [WNBA] 2026-09-21 04:00,http://45.192.97.170:8880/play/221.m3u8
[回放] 节奏 vs 自由人 69-106 [WNBA] 2026-09-21 03:00,http://45.192.97.170:8880/play/222.m3u8
[回放] 节奏 vs 自由人 69-106 [WNBA] 2026-09-21 03:00,http://45.192.97.170:8880/play/223.m3u8
[回放] 华斯基 vs 维切塔 82-93 [篮冠联] 2026-09-21 01:30,http://45.192.97.170:8880/play/224.m3u8
[回放] 阳光 vs 山猫 89-101 [WNBA] 2026-09-21 01:00,http://45.192.97.170:8880/play/225.m3u8
[回放] 阳光 vs 山猫 89-101 [WNBA] 2026-09-21 01:00,http://45.192.97.170:8880/play/226.m3u8
[回放] 柴郡凤凰 vs 布里斯托尔学院 92-101 [英篮超] 2026-09-21 00:30,http://45.192.97.170:8880/play/227.m3u8
[回放] 拜仁慕尼黑 vs 保罗沙 108-72 [德篮甲] 2026-09-21 00:00,http://45.192.97.170:8880/play/228.m3u8
[回放] 奥尔登堡 vs 中央德国 96-81 [德篮甲] 2026-09-20 21:00,http://45.192.97.170:8880/play/229.m3u8
[回放] 日本 vs 韩国 57-67 [亚运男篮] 2026-09-20 18:40,http://45.192.97.170:8880/play/230.m3u8
[回放] 日本 vs 韩国 57-67 [亚运男篮] 2026-09-20 18:40,http://45.192.97.170:8880/play/231.m3u8
[回放] 中国 vs 伊朗 70-79 [亚运男篮] 2026-09-20 15:40,http://45.192.97.170:8880/play/232.m3u8
[回放] 中国 vs 伊朗 70-79 [亚运男篮] 2026-09-20 15:40,http://45.192.97.170:8880/play/233.m3u8
[回放] 悉尼国王 vs 凯恩斯太攀蛇 111-90 [澳NBL] 2026-09-20 15:00,http://45.192.97.170:8880/play/234.m3u8
[回放] 台湾艺大 vs 健行科技大学 84-61 [俱乐部友谊赛] 2026-09-20 13:30,http://45.192.97.170:8880/play/235.m3u8
[回放] 新西兰破坏者 vs 伊拉瓦拉老鹰 95-81 [澳NBL] 2026-09-20 13:00,http://45.192.97.170:8880/play/236.m3u8
[回放] 哈萨克斯坦女篮 vs 日本女篮 23-88 [亚运女篮] 2026-09-20 12:50,http://45.192.97.170:8880/play/237.m3u8
[回放] 哈萨克斯坦女篮 vs 日本女篮 23-88 [亚运女篮] 2026-09-20 12:50,http://45.192.97.170:8880/play/238.m3u8
[回放] 中国香港女篮 vs 菲律宾女篮 73-90 [亚运女篮] 2026-09-20 09:00,http://45.192.97.170:8880/play/239.m3u8
[回放] 女武神 vs 风暴 70-57 [WNBA] 2026-09-20 09:00,http://45.192.97.170:8880/play/240.m3u8
[回放] 女武神 vs 风暴 70-57 [WNBA] 2026-09-20 09:00,http://45.192.97.170:8880/play/241.m3u8
[回放] 梦想 vs 天空 106-81 [WNBA] 2026-09-20 07:00,http://45.192.97.170:8880/play/242.m3u8
[回放] 梦想 vs 天空 106-81 [WNBA] 2026-09-20 07:00,http://45.192.97.170:8880/play/243.m3u8
[回放] 特力康 vs 汉堡 96-72 [德篮甲] 2026-09-20 02:00,http://45.192.97.170:8880/play/244.m3u8
[回放] 帕特雷普罗米修斯 vs 维切塔 73-103 [篮冠联] 2026-09-20 01:30,http://45.192.97.170:8880/play/245.m3u8
[回放] 飞翼 vs 水星 87-82 [WNBA] 2026-09-20 01:00,http://45.192.97.170:8880/play/246.m3u8
[回放] 飞翼 vs 水星 87-82 [WNBA] 2026-09-20 01:00,http://45.192.97.170:8880/play/247.m3u8
足球赛事,#genre#
迈阿密国际 vs 圣地亚哥FC|高清,http://45.192.97.170:8880/play/248.m3u8
迈阿密国际 vs 圣地亚哥FC|赛场原声,http://45.192.97.170:8880/play/249.m3u8
萨克拉门托 vs 圣安东尼奥|赛场原声,http://45.192.97.170:8880/play/250.m3u8
萨克拉门托 vs 圣安东尼奥|高清,http://45.192.97.170:8880/play/251.m3u8
塔巴蒂奥 vs 特拉斯卡拉|高清,http://45.192.97.170:8880/play/252.m3u8
塔巴蒂奥 vs 特拉斯卡拉|赛场原声,http://45.192.97.170:8880/play/253.m3u8
圣路易斯竞技女足 vs 帕丘卡女足|赛场原声,http://45.192.97.170:8880/play/254.m3u8
圣路易斯竞技女足 vs 帕丘卡女足|高清,http://45.192.97.170:8880/play/255.m3u8
阿拉胡埃伦斯 vs 国际圣卡洛斯|赛场原声,http://45.192.97.170:8880/play/256.m3u8
阿拉胡埃伦斯 vs 国际圣卡洛斯|高清,http://45.192.97.170:8880/play/257.m3u8
犹他王室女足 vs 天使城女足|高清,http://45.192.97.170:8880/play/258.m3u8
犹他王室女足 vs 天使城女足|赛场原声,http://45.192.97.170:8880/play/259.m3u8
海湾女足 vs 路易斯维尔竞赛女足|赛场原声,http://45.192.97.170:8880/play/260.m3u8
海湾女足 vs 路易斯维尔竞赛女足|高清,http://45.192.97.170:8880/play/261.m3u8
东方石油 vs 布鲁明|高清,http://45.192.97.170:8880/play/262.m3u8
托利马体育 vs 卡利美洲|高清,http://45.192.97.170:8880/play/263.m3u8
托利马体育 vs 卡利美洲|赛场原声,http://45.192.97.170:8880/play/264.m3u8
东方石油 vs 布鲁明|赛场原声,http://45.192.97.170:8880/play/265.m3u8
基多大学体育 vs 基多天主大学|高清,http://45.192.97.170:8880/play/266.m3u8
基多大学体育 vs 基多天主大学|赛场原声,http://45.192.97.170:8880/play/267.m3u8
托卢卡 vs 桑托斯拉古纳|高清,http://45.192.97.170:8880/play/268.m3u8
托卢卡 vs 桑托斯拉古纳|赛场原声,http://45.192.97.170:8880/play/269.m3u8
帕丘卡 vs 蒂华纳|赛场原声,http://45.192.97.170:8880/play/270.m3u8
帕丘卡 vs 蒂华纳|高清,http://45.192.97.170:8880/play/271.m3u8
萨斯菲尔德 vs 堤格雷|高清,http://45.192.97.170:8880/play/272.m3u8
萨斯菲尔德 vs 堤格雷|赛场原声,http://45.192.97.170:8880/play/273.m3u8
抖音,#genre#
王者荣耀云初（国服孙尚香） - 退役职业/国一中路香香/高胜率带粉轻松连胜,http://pull-hls-t26.douyincdn.com/thirdgame/stream-408351911227425595.m3u8?expire=6ab9baa5&sign=04cfe097ce93d6fe6e1545f52c21a990&exp_hrchy=h2&arch_hrchy=h1&major_anchor_level=common&t_id=037-20260921085356D9301C094E85CC101286-bc5fp0
安娜 - 如果你在苏州就好了,http://pull-hls-f11.douyincdn.com/third/stream-408349979299021483.m3u8?expire=1790556837&sign=fffdb022180a11ae8352da0b7b462e83&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&t_id=037-20260921085356D9301C094E85CC101286-yERxl8
黑羽（三角洲行动） - 全网最极致身法狼，极限1v3,http://pull-hls-f11.douyinliving.com/thirdgame/stream-120120262895076161_hiquhd5.m3u8?expire=1790556837&sign=08e607c88f8e765313fe604e171df9e0&s_anchor=1&arch_hrchy=s2&exp_hrchy=s1&major_anchor_level=vip&t_id=037-20260921085356D9301C094E85CC101286-y6ti4k
冬阳pubg - 前职业回归/全程钢枪/全图追空头,http://pull-hls-q11.douyincdn.com/thirdgame/stream-408351936797475646_hiquhd5.m3u8?expire=1790556837&sign=c67942c3c2fc8a5d716b3b33cc6de9dd&arch_hrchy=h1&major_anchor_level=common&exp_hrchy=h1&t_id=037-20260921085356D9301C094E85CC101286-3LDAQI
叶羞1V4 - 最具有观赏性的闪电/全局钢枪解说思路教学/让你两眼一亮的操作！,http://pull-q5.douyincdn.com/thirdgame/stream-696581679506260798_hiquhd5/index.m3u8?expire=1790556837&sign=129db3fbf2c3f6e668947247956209f9&volcSecret=129db3fbf2c3f6e668947247956209f9&volcTime=1790556837&exp_hrchy=h1&arch_hrchy=h1&major_anchor_level=common&t_id=037-20260921085356D9301C094E85CC101286-Up5zed
轮椅王（万象棋） - 嫦小娥最强轮椅教学，一看就会,http://pull-hls-q13.douyincdn.com/thirdgame/stream-408349877900673854.m3u8?expire=1790556837&sign=9ef89b561a07fa71a262763a1bd2bdae&exp_hrchy=h1&arch_hrchy=h1&major_anchor_level=common&t_id=037-20260921085356D9301C094E85CC101286-9uQntr
橙橙不吃虾 - 欢迎来到我的直播间,http://pull-hls-q1.douyincdn.com/thirdgame/stream-696581992504099646_hiquhd5/playlist.m3u8?keeptime=00093a80&wsSecret=52d35bb8598c96ec3b6c5f8786b5b79c&wsTime=6ab08025&major_anchor_level=common&arch_hrchy=h1&exp_hrchy=h1&t_id=037-20260921085356D9301C094E85CC101286-ZpU4qD
omelette - 占有欲犯了，大家都报备一下owo,http://pull-hls-f11.douyincdn.com/thirdgame/stream-408351862707716874_hiquhd5.m3u8?expire=1790556837&sign=88e9a302f5c1248b90387d2d0b0ff47d&arch_hrchy=w1&exp_hrchy=w1&major_anchor_level=common&t_id=037-20260921085356D9301C094E85CC101286-IbuTs9
小白pubg - 身法盛宴/绝对欧美之人,http://pull-q5.douyincdn.com/thirdgame/stream-120121585005232958_hiquhd5/index.m3u8?expire=1790556837&sign=32bf79ae5d666372c05fdf705f6d6355&volcSecret=32bf79ae5d666372c05fdf705f6d6355&volcTime=1790556837&exp_hrchy=h1&arch_hrchy=h1&major_anchor_level=common&t_id=037-20260921085356D9301C094E85CC101286-lkNYIH
星野（国一小乔） - 国一小乔单排教学，没顶级发1000,http://pull-hls-t13.douyincdn.com/thirdgame/stream-120121431800677179.m3u8?expire=1790556837&sign=765cd87e2354f86c5a97dd7b54a8b458&arch_hrchy=h1&exp_hrchy=h2&major_anchor_level=common&t_id=037-20260921085356D9301C094E85CC101286-96ylRW
金铲铲依拉（叶神传媒） - S16.5恭喜发财登场！依拉带你猛追三星五费！,http://pull-hls-t26.douyincdn.com/thirdgame/stream-696582209266516795_uiquhd5.m3u8?expire=6ab9baa5&sign=6adc2a347a6cd832aafaee07d7bf0235&major_anchor_level=common&arch_hrchy=h1&exp_hrchy=h1&t_id=037-20260921085356D9301C094E85CC101286-eVPnaq
天霸一霖（三角洲行动） - 三角洲冠军指挥！绿裤子绝对杀手！,http://pull-hls-t11.douyincdn.com/thirdgame/stream-408351864185684795_hiquhd5.m3u8?expire=1790556837&sign=6cedac314040900af1080deb0db9c0cd&arch_hrchy=h1&exp_hrchy=h1&major_anchor_level=common&t_id=037-20260921085356D9301C094E85CC101286-gGSJXM
凉城（博尔特百亿大亨） - 地铁逃生/全网最不吃压力之人/七赛季地铁大亨,http://pull-hls-q13.douyincdn.com/thirdgame/stream-408351847138460478.m3u8?expire=1790556837&sign=742ecddf91ae3626ad747b266e695123&major_anchor_level=common&arch_hrchy=h1&exp_hrchy=h1&t_id=037-20260921085356D9301C094E85CC101286-DyEGCg
小竹（中路大乔） - T0中单大乔顶尖运营思路/在榜2w国一大乔/圆梦粉丝大乔金标,http://pull-hls-q11.douyincdn.com/thirdgame/stream-120121497500517182_hiquhd5.m3u8?expire=1790556837&sign=d59164e72097cc0c8b694bfc9704f948&arch_hrchy=h1&exp_hrchy=h1&major_anchor_level=common&t_id=037-20260921085356D9301C094E85CC101286-KOOLG3
王大拿（金铲铲）s18三星五费记录保持者 - 金铲铲S18自然之力更新后最强黑科技逆天机制顺流而下！把把7级三星五费,http://pull-q5.douyincdn.com/thirdgame/stream-120121551659467582_uiquhd5/index.m3u8?expire=1790556837&sign=8b80b319fb5e15d3dd12a0635a16a2ca&volcSecret=8b80b319fb5e15d3dd12a0635a16a2ca&volcTime=1790556837&arch_hrchy=h1&major_anchor_level=common&exp_hrchy=h1&t_id=037-20260921085356D9301C094E85CC101286-BEwGZb
黄少天（三角洲行动） - 二员魔尊/蓝室飞天龙,http://pull-hls-f11.douyinliving.com/thirdgame/stream-408351739364508481_hiquhd5.m3u8?expire=1790556837&sign=4adabf052691c08663cd814260cade55&exp_hrchy=s1&major_anchor_level=vip&s_anchor=1&arch_hrchy=s2&t_id=037-20260921085356D9301C094E85CC101286-UPj0G3
梦幻Hp - 梦幻西游再续前缘定海神针。今天开新等级。,http://pull-q5.douyincdn.com/thirdgame/stream-408351878477513534_uiquhd5/index.m3u8?expire=1790556837&sign=27dcf4cd772e760e71953af00b77a520&volcSecret=27dcf4cd772e760e71953af00b77a520&volcTime=1790556837&arch_hrchy=h1&exp_hrchy=h1&major_anchor_level=common&t_id=037-20260921085356D9301C094E85CC101286-p8lloe
吕德华（生活号） - 挑战100个进人头不达不下播,http://pull-hls-f11.douyinliving.com/thirdgame/stream-408348546005467969_hiquhd5.m3u8?expire=1790556837&sign=24bd7ee2004d28872c01966f3d343285&s_anchor=1&arch_hrchy=s2&exp_hrchy=s1&major_anchor_level=vip&t_id=037-20260921085356D9301C094E85CC101286-AEFXoc
狂小子 - 国服第一jett，长的帅声音好听,http://pull-hls-q13.douyincdn.com/thirdgame/stream-408351897134039870_hiquhd5.m3u8?expire=1790556837&sign=dd41aecb87740db68bb51813c91ea3a7&arch_hrchy=h1&exp_hrchy=h1&major_anchor_level=common&t_id=037-20260921085356D9301C094E85CC101286-zGqRcy
